# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "reference/GCF_000484505.2_ASM48450v2_genomic.gtf" "-o" "counts/gene_counts.txt" "bam_files/SRR23426208.bam" "bam_files/SRR23426209.bam" "bam_files/SRR23426210.bam" "bam_files/SRR23426211.bam" "bam_files/SRR23426212.bam" "bam_files/SRR23426213.bam" "bam_files/SRR23426214.bam" "bam_files/SRR23426215.bam" "bam_files/SRR23426216.bam" "bam_files/SRR23426217.bam" "bam_files/SRR23426218.bam" "bam_files/SRR23426219.bam" "bam_files/SRR23426220.bam" "bam_files/SRR23426221.bam" "bam_files/SRR23426222.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_files/SRR23426208.bam	bam_files/SRR23426209.bam	bam_files/SRR23426210.bam	bam_files/SRR23426211.bam	bam_files/SRR23426212.bam	bam_files/SRR23426213.bam	bam_files/SRR23426214.bam	bam_files/SRR23426215.bam	bam_files/SRR23426216.bam	bam_files/SRR23426217.bam	bam_files/SRR23426218.bam	bam_files/SRR23426219.bam	bam_files/SRR23426220.bam	bam_files/SRR23426221.bam	bam_files/SRR23426222.bam
CAETHG_RS00145	NC_022592.1	26263	26496	+	234	9	23	15	5	56	18	3	12	5	96	97	91	18	29	14
CAETHG_RS00150	NC_022592.1	26489	26851	+	363	17	100	37	35	191	59	17	50	36	307	344	442	123	71	52
CAETHG_RS00155	NC_022592.1	26871	28007	+	1137	101	282	73	92	465	199	46	214	109	931	932	1111	284	227	130
CAETHG_RS00160	NC_022592.1	28022	28234	+	213	32	110	39	34	178	92	23	69	43	277	422	335	107	83	54
CAETHG_RS00165	NC_022592.1	28257	28559	+	303	59	187	58	77	211	126	33	76	34	446	611	454	135	124	85
CAETHG_RS00170	NC_022592.1	28806	29291	+	486	1223	1191	1086	765	1006	1139	829	718	872	1010	1371	952	893	1213	1194
CAETHG_RS00175	NC_022592.1	29494	29691	+	198	4030	3024	6669	4155	2509	3677	4096	4581	2663	5016	11242	3263	2837	4417	4306
CAETHG_RS00180	NC_022592.1	29756	30933	-	1178	2700	3608	2871	1713	2638	2527	1931	1474	3709	3167	4334	3318	2026	1873	2400
CAETHG_RS00185	NC_022592.1	30946	32469	-	1524	2242	2790	2297	1493	2095	1878	1456	1136	3103	2620	3191	3103	1480	1304	1689
CAETHG_RS00190	NC_022592.1	32573	33502	-	930	396	412	445	283	391	441	350	314	515	293	402	333	289	354	377
CAETHG_RS00195	NC_022592.1	33703	34032	+	330	1587	1290	3064	1984	1311	2029	1281	1801	1221	2226	5029	1251	980	1943	1391
CAETHG_RS00200	NC_022592.1	34082	35515	-	1434	314	370	689	432	333	505	374	325	483	350	628	400	254	304	388
CAETHG_RS00205	NC_022592.1	35505	36185	-	681	210	166	227	118	136	204	169	122	169	107	189	94	156	190	196
CAETHG_RS00210	NC_022592.1	36350	37084	+	735	6	5	8	4	9	4	6	3	2	9	16	7	2	4	4
CAETHG_RS00215	NC_022592.1	37065	38243	+	1179	5	23	25	7	17	13	10	11	11	13	19	22	10	13	6
CAETHG_RS00220	NC_022592.1	38381	39445	+	1065	20	37	40	16	40	27	23	33	17	80	87	100	35	28	21
CAETHG_RS00225	NC_022592.1	39435	40445	+	1011	16	26	32	17	50	27	16	31	26	119	198	128	25	33	14
CAETHG_RS00230	NC_022592.1	40448	41620	-	1173	14	67	18	19	56	30	11	27	26	149	265	154	40	45	17
CAETHG_RS00235	NC_022592.1	41759	42283	+	525	78	452	109	109	721	368	45	213	140	1097	1266	1258	474	366	104
CAETHG_RS00240	NC_022592.1	42355	43104	-	750	171	359	329	262	519	423	164	322	233	602	1046	700	361	329	268
CAETHG_RS00245	NC_022592.1	43107	43898	-	792	52	47	37	13	41	44	20	21	56	61	105	115	23	19	36
CAETHG_RS00250	NC_022592.1	44247	45218	-	972	1587	1367	1367	818	1507	2020	1268	752	1368	1305	2539	1211	1179	1317	1599
CAETHG_RS00255	NC_022592.1	45607	46146	+	540	430	474	450	270	285	321	288	254	507	250	308	303	191	292	323
CAETHG_RS00260	NC_022592.1	46257	46844	+	588	531	647	655	398	370	412	365	333	571	218	328	406	304	295	350
CAETHG_RS20665	NC_022592.1	46928	47275	+	348	421	531	488	264	308	274	231	252	412	203	259	249	278	250	413
CAETHG_RS00265	NC_022592.1	47284	48273	+	990	1352	1535	1674	1181	1090	1047	1169	1104	1605	695	714	963	773	749	1064
CAETHG_RS00270	NC_022592.1	48346	50000	+	1655	2271	2547	3523	2123	2102	2318	2083	2075	3311	1641	2135	2075	1428	1440	1980
CAETHG_RS00275	NC_022592.1	50414	52288	+	1875	8459	5517	13690	10779	7098	10409	9371	11103	7383	7271	8713	9573	5507	6486	8849
CAETHG_RS00280	NC_022592.1	52802	54046	-	1245	169	186	272	125	149	152	182	142	273	120	116	178	124	96	150
CAETHG_RS00285	NC_022592.1	54260	55135	+	876	186	151	163	85	109	114	98	129	147	89	132	111	73	72	104
CAETHG_RS00290	NC_022592.1	55300	56121	+	822	818	862	982	838	846	915	603	536	911	916	1166	854	648	740	857
CAETHG_RS00295	NC_022592.1	56327	56980	+	654	85	108	112	116	84	100	82	59	109	63	40	44	47	78	108
CAETHG_RS00300	NC_022592.1	56981	58414	+	1434	580	471	725	436	416	604	453	411	522	359	729	269	388	461	518
CAETHG_RS00305	NC_022592.1	58454	59011	+	558	156	102	187	102	82	144	138	115	171	92	95	121	79	76	133
CAETHG_RS00310	NC_022592.1	59033	59884	+	852	235	251	278	207	179	233	218	175	306	116	155	159	134	139	286
CAETHG_RS00315	NC_022592.1	59933	60400	+	468	280	261	307	185	228	261	268	171	321	189	203	209	203	181	345
CAETHG_RS00320	NC_022592.1	60753	62081	-	1329	655	711	456	265	504	498	409	317	649	518	559	768	111	98	144
CAETHG_RS00325	NC_022592.1	62463	63728	-	1266	6433	9098	2726	3370	5771	5289	3939	3117	5041	8506	10212	10336	330	220	309
CAETHG_RS00330	NC_022592.1	64090	64716	+	627	585	628	592	352	444	457	425	355	504	748	1327	591	311	394	433
CAETHG_RS00335	NC_022592.1	64952	65521	+	570	50	95	57	44	134	62	53	45	80	381	663	392	88	101	37
CAETHG_RS00340	NC_022592.1	65615	66400	+	786	59	101	58	38	106	79	48	56	58	229	348	257	85	70	55
CAETHG_RS00345	NC_022592.1	66655	67119	+	465	5	14	23	9	8	6	5	11	14	10	17	3	4	8	5
CAETHG_RS00350	NC_022592.1	67243	67419	+	177	6	6	16	7	12	14	5	19	14	5	6	11	9	8	9
CAETHG_RS00355	NC_022592.1	67600	68046	-	447	260	210	302	137	175	282	259	122	232	137	270	179	138	195	219
CAETHG_RS00360	NC_022592.1	68177	69211	+	1035	126	176	235	87	159	157	103	120	175	120	154	114	141	156	112
CAETHG_RS00365	NC_022592.1	69499	70356	+	858	11	15	9	6	6	19	12	10	14	15	22	8	20	6	23
CAETHG_RS00370	NC_022592.1	70581	71468	+	888	1266	1163	1300	1019	988	1355	1065	896	1184	1022	1902	793	979	1474	1316
CAETHG_RS00375	NC_022592.1	71822	72481	+	660	511	500	491	358	305	421	350	348	411	236	470	171	213	322	329
CAETHG_RS00380	NC_022592.1	72707	74713	+	2007	4207	3449	2389	1294	2370	3703	2530	1332	3200	976	1186	1019	3171	4183	4905
CAETHG_RS00385	NC_022592.1	74724	75608	+	885	1934	1389	883	539	1010	1715	983	627	1367	554	557	570	1582	1510	2142
CAETHG_RS00390	NC_022592.1	75867	76733	+	867	3435	2425	2335	1390	2594	3487	2552	1538	2995	1699	2265	1850	3367	3812	4530
CAETHG_RS00395	NC_022592.1	77170	77703	-	534	932	1079	832	714	989	1164	943	574	979	919	1384	926	1186	1486	1181
CAETHG_RS00400	NC_022592.1	77905	78462	-	558	254	258	856	1019	652	929	1247	689	749	882	987	960	667	756	500
CAETHG_RS00405	NC_022592.1	78553	78738	-	186	46	62	225	231	129	198	318	188	176	199	201	270	158	173	119
CAETHG_RS00410	NC_022592.1	78889	79461	-	573	967	1061	2175	3773	2222	2942	3922	2111	2038	2565	2783	3320	2539	2629	1984
CAETHG_RS00415	NC_022592.1	79475	81580	-	2106	5259	5827	11578	19426	11545	15912	22308	10874	11202	12748	11974	18012	13163	12862	10834
CAETHG_RS00420	NC_022592.1	82184	82408	+	225	15	286	318	1765	1004	1115	1834	745	576	2789	2457	2012	1982	3162	625
CAETHG_RS00425	NC_022592.1	82411	83094	+	684	53	1920	2402	14217	6516	9999	21361	5195	4748	19834	17997	18722	16558	19824	4316
CAETHG_RS00430	NC_022592.1	83413	84195	+	783	12	131	246	785	277	306	880	480	290	1064	1156	1229	606	762	357
CAETHG_RS00435	NC_022592.1	84253	85290	+	1038	53	91	229	469	211	221	546	321	237	810	842	824	455	518	236
CAETHG_RS00440	NC_022592.1	85417	86505	+	1089	77	267	563	1381	520	633	1273	722	418	2228	2150	1926	1059	1497	593
CAETHG_RS00445	NC_022592.1	86628	86891	+	264	14	41	133	243	115	125	197	188	100	390	549	409	219	334	166
CAETHG_RS00450	NC_022592.1	87174	88997	+	1824	71	37832	13242	61980	55997	67348	68027	35351	71484	79614	71264	94837	73983	61466	34534
CAETHG_RS00455	NC_022592.1	89180	90520	+	1341	135	16112	5732	21094	20079	22040	23082	13577	26593	28154	23965	31786	28115	22540	14546
CAETHG_RS00460	NC_022592.1	90685	92583	+	1899	205	17227	6063	21627	20784	23970	27287	13443	32465	24508	19961	32575	29568	19925	14945
CAETHG_RS00465	NC_022592.1	93086	93931	+	846	530	4167	2478	6998	6553	7617	9053	4736	8376	9123	9146	9403	10416	11376	6203
CAETHG_RS00470	NC_022592.1	93956	94615	+	660	322	2426	1757	4453	3964	4816	5065	2954	5289	6440	6293	6709	6168	6220	3335
CAETHG_RS00475	NC_022592.1	94605	95309	+	705	408	2880	1929	5222	4339	4839	5593	3402	6323	5990	5602	6985	6202	5551	3853
CAETHG_RS00480	NC_022592.1	95363	96595	+	1233	653	4536	3127	8460	7378	7879	9308	6148	10582	8336	6670	10102	9714	7824	5972
CAETHG_RS00485	NC_022592.1	96600	98507	+	1908	1189	7989	5694	15624	12207	15022	17378	9829	18769	14783	12595	18881	17898	13740	10643
CAETHG_RS00490	NC_022592.1	98633	99064	+	432	530	2446	1888	4289	3640	3821	4849	3048	5679	3791	3124	5248	4416	3506	2749
CAETHG_RS00495	NC_022592.1	99121	100086	+	966	755	3217	2805	6845	5681	6126	7142	4690	8268	6543	5521	7919	6755	5667	4040
CAETHG_RS00500	NC_022592.1	100225	102048	+	1824	747	3718	4314	20021	12701	15358	18649	8461	14963	59025	36851	60994	15096	10604	7317
CAETHG_RS00505	NC_022592.1	102141	102365	+	225	46	210	277	1345	915	998	1099	609	891	3654	1889	3421	1038	885	476
CAETHG_RS00510	NC_022592.1	102368	103054	+	687	336	1438	2045	8724	5494	7765	8532	3786	5782	21063	13623	20401	6859	5878	3208
CAETHG_RS00515	NC_022592.1	103275	105170	+	1896	655	2820	5352	19898	12162	15517	18054	8998	14078	45004	27677	42458	14242	10840	6725
CAETHG_RS00520	NC_022592.1	105540	105986	+	447	65	46	79	40	47	61	61	17	53	54	71	67	46	43	59
CAETHG_RS00525	NC_022592.1	106060	106923	+	864	41	30	69	31	39	30	45	16	47	39	46	48	24	25	31
CAETHG_RS00530	NC_022592.1	107033	107947	+	915	536	443	898	471	376	518	550	483	531	328	528	496	412	458	487
CAETHG_RS00535	NC_022592.1	108107	110752	+	2646	2203	2223	3344	1879	2608	2646	1972	2007	2452	2237	2293	2976	2227	2436	2486
CAETHG_RS00540	NC_022592.1	110947	112293	+	1347	888	891	1415	830	1008	1023	724	826	951	964	1143	1021	937	1021	986
CAETHG_RS00545	NC_022592.1	112324	113628	-	1305	275	575	327	213	763	455	194	298	352	969	1213	1172	567	398	197
CAETHG_RS00550	NC_022592.1	113950	115170	+	1221	307	375	463	346	288	313	319	289	416	189	288	274	279	404	420
CAETHG_RS00555	NC_022592.1	115157	118650	+	3494	1509	1817	2703	2002	2036	2027	1819	1698	2235	1849	1894	1749	1647	1838	2000
CAETHG_RS00560	NC_022592.1	119082	119885	+	804	3840	3607	5763	5323	3771	4687	3779	5918	5245	3297	3941	7896	2627	1943	4813
CAETHG_RS00565	NC_022592.1	119890	120888	+	999	4503	4101	6157	5787	4391	5555	4139	6701	5981	3494	4119	7939	2978	2126	5528
CAETHG_RS00570	NC_022592.1	120912	122318	+	1407	7547	6421	10020	10265	7318	10060	7302	11212	8984	5205	7220	12385	4814	3459	8482
CAETHG_RS00575	NC_022592.1	122440	123348	+	909	3107	2307	3860	3537	2744	3790	2917	3667	3893	1213	1656	2729	1628	1243	3264
CAETHG_RS00580	NC_022592.1	123516	124856	+	1341	862	716	2028	1834	1286	2063	2251	1853	981	1736	1934	2473	1859	1855	2173
CAETHG_RS00585	NC_022592.1	124805	125431	+	627	693	545	1792	1694	957	1684	1839	1631	646	1648	2249	2067	1508	1709	1646
CAETHG_RS00590	NC_022592.1	125698	126636	+	939	1162	797	1371	694	619	887	928	700	897	553	878	768	581	567	933
CAETHG_RS00595	NC_022592.1	128069	129082	+	1014	16879	15701	35720	48169	22757	27845	28259	40745	22216	22934	29301	46263	16840	16850	24697
CAETHG_RS00600	NC_022592.1	129638	131296	+	1659	12104	13835	23335	25902	17737	18201	14854	27375	19513	18829	23107	43680	10591	7298	16244
CAETHG_RS00605	NC_022592.1	132080	133690	+	1611	4068	3729	9433	10000	5179	4891	4309	13568	4774	11471	13794	29167	6957	5352	12526
CAETHG_RS00610	NC_022592.1	133706	134197	+	492	1744	1478	3848	3788	1803	2029	1597	4767	1645	4863	6718	11039	2905	2322	5224
CAETHG_RS00615	NC_022592.1	134447	134713	+	267	157	646	419	261	1169	751	100	394	280	2468	3430	1586	801	713	269
CAETHG_RS00620	NC_022592.1	134794	136755	-	1962	336	395	321	254	342	332	231	220	431	403	377	330	273	207	249
CAETHG_RS00625	NC_022592.1	137032	138183	+	1152	79	90	89	60	62	65	65	45	88	121	110	59	57	93	67
CAETHG_RS00630	NC_022592.1	138951	140309	+	1359	45	64	42	31	94	63	37	28	83	157	130	111	86	64	76
CAETHG_RS00635	NC_022592.1	140376	141359	+	984	93	144	84	62	144	160	68	51	141	194	141	132	112	78	79
CAETHG_RS00640	NC_022592.1	141388	142371	+	984	130	177	105	73	144	174	76	75	142	252	161	134	148	98	119
CAETHG_RS00645	NC_022592.1	142406	142624	+	219	14	34	11	10	32	26	7	11	21	44	18	22	18	35	10
CAETHG_RS00650	NC_022592.1	142640	143407	+	768	87	141	68	56	127	125	55	53	124	199	121	144	96	102	88
CAETHG_RS00655	NC_022592.1	143422	143913	+	492	96	94	55	49	70	73	46	41	66	105	82	90	52	64	81
CAETHG_RS00660	NC_022592.1	143967	145439	-	1473	552	577	679	778	450	742	560	497	533	872	962	758	498	534	519
CAETHG_RS00665	NC_022592.1	145764	146282	+	519	766	689	679	538	485	769	635	402	594	395	607	500	627	643	745
CAETHG_RS00670	NC_022592.1	146487	146741	+	255	93	77	206	148	349	302	172	130	288	266	329	247	175	207	179
CAETHG_RS00675	NC_022592.1	146783	148150	+	1368	320	293	484	355	859	911	499	321	603	1218	1382	1140	762	769	738
CAETHG_RS00680	NC_022592.1	148419	149042	+	624	182	160	363	433	304	592	618	366	261	341	392	349	448	410	625
CAETHG_RS00685	NC_022592.1	149047	150156	+	1110	173	132	490	568	344	568	771	432	363	454	562	592	536	430	638
CAETHG_RS00690	NC_022592.1	150401	151543	+	1143	150	108	89	106	132	227	237	110	120	136	118	153	174	159	278
CAETHG_RS00695	NC_022592.1	151624	153522	-	1899	288	278	585	435	284	393	404	317	326	378	395	435	427	329	474
CAETHG_RS00700	NC_022592.1	154008	154913	-	906	91	80	202	190	130	161	225	143	95	221	251	275	201	150	210
CAETHG_RS00705	NC_022592.1	154913	155662	-	750	67	82	195	146	113	127	178	96	75	190	276	156	143	137	169
CAETHG_RS00710	NC_022592.1	156117	156914	+	798	104	132	354	357	273	394	343	328	359	199	241	313	283	324	370
CAETHG_RS00715	NC_022592.1	156907	157587	+	681	399	314	1300	1248	1005	1544	1393	1095	1069	618	611	1047	1041	841	1663
CAETHG_RS00720	NC_022592.1	157635	158243	+	609	318	260	960	1022	702	1257	1098	880	745	558	619	801	931	687	1325
CAETHG_RS00725	NC_022592.1	158236	158688	+	453	192	178	577	674	435	693	608	523	410	348	312	440	445	389	786
CAETHG_RS00730	NC_022592.1	158728	159282	+	555	247	197	895	990	625	1023	1050	790	522	577	556	748	838	596	1066
CAETHG_RS00735	NC_022592.1	159331	159951	+	621	276	214	959	1309	749	1378	1184	1068	583	712	584	937	1074	818	1272
CAETHG_RS00740	NC_022592.1	159958	161070	+	1113	265	275	1283	1891	929	1703	1720	1639	635	1015	855	1316	1367	1013	1754
CAETHG_RS00745	NC_022592.1	161167	161963	+	797	42	25	204	331	134	249	281	286	119	181	153	214	230	222	284
CAETHG_RS00750	NC_022592.1	162174	162800	+	627	453	373	1429	2498	1140	2550	2584	1842	507	1680	1478	2200	2003	1499	1676
CAETHG_RS00755	NC_022592.1	162802	163914	+	1113	650	408	1631	2811	1234	2886	2687	2286	525	1902	1508	2301	2377	1753	2091
CAETHG_RS00760	NC_022592.1	163961	165355	-	1395	502	407	1540	1431	702	1563	1555	1295	657	1119	1223	1625	1337	1028	1428
CAETHG_RS20670	NC_022592.1	165387	165812	-	426	171	159	574	419	218	510	527	418	297	395	376	562	388	376	469
CAETHG_RS00765	NC_022592.1	165862	167415	-	1554	873	891	1537	1035	769	1278	1132	851	1024	670	903	1064	879	957	1237
CAETHG_RS00770	NC_022592.1	167605	168159	+	555	383	362	462	317	298	386	296	270	417	301	297	320	282	291	484
CAETHG_RS00775	NC_022592.1	168285	169130	+	846	3255	2673	3209	2443	2027	2529	2548	2238	2718	1605	1760	2028	2050	2120	3054
CAETHG_RS00780	NC_022592.1	169262	169780	+	519	11862	9017	19645	15281	8904	12503	10268	17241	8772	22840	50706	15598	8229	14212	11234
CAETHG_RS00785	NC_022592.1	169842	170768	-	927	350	312	369	243	245	253	310	168	305	187	205	294	198	171	284
CAETHG_RS00790	NC_022592.1	170776	172080	-	1305	551	390	571	321	344	416	411	295	390	245	357	423	254	295	394
CAETHG_RS00795	NC_022592.1	172386	173701	+	1316	182	220	1570	1172	287	368	359	707	220	1819	1446	1607	446	607	637
CAETHG_RS00800	NC_022592.1	173815	175670	-	1856	59	119	91	75	160	122	58	88	86	329	468	272	123	123	98
CAETHG_RS00805	NC_022592.1	175866	176825	+	960	640	667	695	513	490	571	640	479	660	460	475	525	478	473	599
CAETHG_RS00810	NC_022592.1	176956	177345	+	390	150	163	245	248	229	252	295	193	200	470	737	374	253	337	255
CAETHG_RS00815	NC_022592.1	177435	177830	-	396	38	95	55	69	249	119	41	64	82	485	903	342	133	166	56
CAETHG_RS00820	NC_022592.1	177969	178886	+	918	206	291	341	232	429	257	249	297	280	1521	1714	1218	438	392	230
CAETHG_RS00825	NC_022592.1	178980	180395	+	1416	1859	2318	2483	1575	1696	1791	1723	1521	2575	3004	3239	2918	1493	1771	1693
CAETHG_RS00830	NC_022592.1	180481	181371	+	891	718	980	1008	528	688	748	658	510	944	990	1328	941	487	492	623
CAETHG_RS00835	NC_022592.1	181436	182068	+	633	432	510	478	365	380	423	367	401	649	276	303	315	331	259	351
CAETHG_RS20510	NC_022592.1	182408	182533	+	126	35	45	83	58	57	57	54	56	71	69	97	58	21	31	39
CAETHG_RS00840	NC_022592.1	182560	184437	+	1878	606	783	1526	954	806	963	670	760	1063	1398	1856	1316	543	593	636
CAETHG_RS00845	NC_022592.1	184619	184825	+	207	62	95	184	98	105	110	66	152	65	283	741	304	117	141	78
CAETHG_RS00850	NC_022592.1	184842	185702	+	861	91	160	89	97	309	167	95	92	125	603	963	712	231	223	91
CAETHG_RS00855	NC_022592.1	185714	186193	+	480	31	59	52	36	75	55	37	52	36	231	266	187	64	75	37
CAETHG_RS00860	NC_022592.1	186194	187192	+	999	95	218	114	151	454	285	104	190	133	1044	1406	1002	307	327	154
CAETHG_RS00865	NC_022592.1	187210	187563	+	354	43	141	75	115	259	168	67	98	70	620	970	668	184	151	98
CAETHG_RS00870	NC_022592.1	187584	187790	+	207	369	969	524	598	1276	1004	455	604	439	4691	9242	2614	1612	2081	618
CAETHG_RS00875	NC_022592.1	188030	188818	+	789	1211	1015	1091	681	647	1155	884	703	995	638	943	505	795	985	1217
CAETHG_RS00880	NC_022592.1	188904	189116	+	213	3074	2609	5467	3733	2690	3543	2525	5116	2336	3134	7732	1373	2517	4133	3557
CAETHG_RS00885	NC_022592.1	189158	190117	-	960	201	356	276	145	379	334	164	174	298	361	534	409	274	181	199
CAETHG_RS00890	NC_022592.1	190098	191194	-	1097	19	92	23	21	176	86	12	32	24	166	233	158	95	79	27
CAETHG_RS00895	NC_022592.1	191191	192090	-	900	8	77	11	28	138	77	11	38	25	179	285	158	78	40	18
CAETHG_RS00900	NC_022592.1	192970	193956	+	987	344	277	219	170	162	192	222	156	253	172	196	159	173	156	172
CAETHG_RS00905	NC_022592.1	194002	194421	-	420	2098	1410	2124	854	758	1173	1607	952	1078	1177	2568	677	1088	1383	1872
CAETHG_RS00910	NC_022592.1	194546	195163	+	618	3765	3079	3866	2165	2608	3873	3361	1797	3876	1912	2302	2240	2427	2485	3557
CAETHG_RS00915	NC_022592.1	195209	196423	+	1215	6585	4680	5733	3023	4095	5605	5506	2648	6543	2190	2732	2829	3798	3678	5476
CAETHG_RS00920	NC_022592.1	196480	196932	-	453	206	118	532	200	146	174	180	150	211	299	962	223	104	119	132
CAETHG_RS00925	NC_022592.1	197104	198129	-	1026	877	925	1065	599	781	746	564	514	969	1088	1142	1005	609	509	824
CAETHG_RS00930	NC_022592.1	198160	199236	-	1077	637	747	821	501	556	620	298	413	630	474	328	463	476	311	567
CAETHG_RS00935	NC_022592.1	199252	199911	-	660	370	346	434	288	382	328	141	205	328	248	238	241	278	211	268
CAETHG_RS00940	NC_022592.1	199953	200402	-	450	67	69	97	75	114	99	42	61	67	68	121	44	30	40	71
CAETHG_RS00945	NC_022592.1	200765	201913	+	1149	727	732	927	712	784	935	671	619	974	536	557	653	743	583	815
CAETHG_RS00950	NC_022592.1	202108	203175	+	1068	305	281	654	410	457	601	421	400	548	296	377	363	322	256	439
CAETHG_RS00955	NC_022592.1	203284	204621	-	1338	765	355	471	481	316	393	238	471	367	328	515	456	1115	1156	3548
CAETHG_RS00960	NC_022592.1	205363	205980	+	618	405	1206	1116	801	3384	1765	322	1637	692	7157	10598	6891	2037	1725	563
CAETHG_RS00965	NC_022592.1	206643	207983	+	1341	15286	15224	20081	12928	13304	17426	13693	13533	17728	7362	9943	11524	17701	14928	23570
CAETHG_RS00970	NC_022592.1	208108	208566	-	459	1216	1331	1791	1249	1009	1662	1536	1032	2008	1011	1216	967	1167	1378	1763
CAETHG_RS00975	NC_022592.1	208883	209815	-	933	197	203	238	140	220	222	159	129	221	151	152	184	152	116	182
CAETHG_RS00980	NC_022592.1	209895	210131	-	237	123	114	159	104	87	107	108	84	109	83	222	89	88	83	112
CAETHG_RS00985	NC_022592.1	210372	210830	-	459	15	23	21	16	19	21	26	10	14	26	60	42	12	9	24
